word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
申诉	shen1 su4	向高一级法院或上级上诉	被告对一审判决不服，决定向省高级人民法院提起#申诉#，希望能够获得更公正的裁决。	律师告诉当事人，如果对判决结果有异议，可以在规定期限内向上级法院#申诉#，争取改判的机会。	这起案件经过三年的漫长等待，当事人终于获准向最高人民法院#申诉#，案件将进入再审程序。	根据我国法律规定，当事人对已经生效的判决、裁定认为有错误的，可以向上一级人民法院#申诉#。	他坚信自己是无辜的，在服刑期间多次向上级法院#申诉#，最终在新证据的支持下获得了改判。	辩护律师正在准备#申诉#材料，计划向省高院提交，请求对这起冤案进行重新审理。	经过多方努力，这位蒙冤入狱的老人终于获得了向最高法#申诉#的机会，他的案件引起了社会广泛关注。			
申诉	shen1 su4	对不满事项的投诉或控告	消费者对商家的欺诈行为非常愤怒，决定向消费者协会#申诉#，要求依法维护自己的合法权益。	员工认为公司的处分决定不公平，于是向工会提出#申诉#，希望能够得到公正的处理。	业主们对物业公司的服务质量极为不满，联名向住建部门#申诉#，要求更换物业管理公司。	这位患者对医院的诊疗过程存在质疑，向卫生监督部门提出#申诉#，要求调查医疗事故的责任。	学生家长对学校的收费项目提出#申诉#，认为部分费用不合理，要求教育局介入调查。	她对公司的绩效考核结果不满意，按照内部流程向人力资源部门提出了#申诉#，并附上了详细的工作记录。	租户对房东擅自涨租的行为向房屋管理部门#申诉#，要求按照合同约定执行原有租金标准。			
申诉	shen1 su4	请求复议或寻求法律救济	当事人对行政处罚决定不服，依法向上级机关提出#申诉#，请求撤销原处罚决定。	这位退休教师对养老金核算结果有异议，向社保部门提出#申诉#，要求重新核实缴费年限。	企业对税务机关的处罚决定提出#申诉#，认为计算方式存在错误，请求依法复议。	他对交警开具的罚单提出#申诉#，提供了行车记录仪视频作为证据，证明自己并未违章。	申请人对专利局的驳回决定不服，在法定期限内提出#申诉#，请求复审委员会重新审查。	考生对高考成绩有疑问，按照规定程序向教育考试院提出#申诉#，申请查阅试卷和复核分数。	被处分的公务员认为处理过重，向监察委员会提出#申诉#，请求减轻或撤销处分决定。			
用品	yong4 pin3	日常使用的物品	超市里的日常#用品#种类繁多，从牙膏牙刷到洗衣液，应有尽有，方便居民一站式购齐。	她每个月都会列一份清单，把家里需要补充的生活#用品#记录下来，然后趁周末促销时集中采购。					
用品	yong4 pin3	用于特定用途的制成品	这家工厂专门生产医疗#用品#，包括一次性手套、口罩和防护服，产品远销海内外。	登山爱好者在出发前仔细检查了所有户外#用品#，确保帐篷、睡袋和登山杖都处于良好状态。	学校开学前，文具店里挤满了购买学习#用品#的家长和学生，铅笔、橡皮和笔记本销量大增。	这款专业的摄影#用品#采用了最新的防抖技术，深受摄影爱好者的青睐，上市首月就卖断了货。	母婴#用品#市场近年来发展迅速，各大品牌纷纷推出高端产品线，满足年轻父母的消费需求。	他在体育#用品#专卖店挑选了一双专业跑鞋，准备参加下个月举行的城市马拉松比赛。	实验室里的化学#用品#必须按照规定分类存放，危险品要单独上锁，并做好详细的使用登记。			
用品	yong4 pin3	用于买卖的货物或商品	这家批发市场主要经营办公#用品#，从打印纸到文件夹，批发价格比零售店便宜三成以上。	跨境电商平台上的进口#用品#越来越受欢迎，消费者足不出户就能买到世界各地的优质商品。	展销会上，各类家居#用品#琳琅满目，吸引了大批采购商前来洽谈合作，现场签约不断。	他在网上开了一家店铺，专门销售宠物#用品#，从猫粮狗粮到玩具用具，生意做得红红火火。	这批库存的清洁#用品#需要尽快处理，仓库管理员正在联系各个销售渠道，争取在月底前清仓。	进口#用品#的关税调整政策出台后，不少贸易商开始重新评估进货成本，调整经营策略。	农村电商的发展让偏远地区的居民也能方便地购买到各种生活#用品#，大大改善了他们的生活质量。			
别墅	bie2 shu4	供居住或度假的独立住宅	这座依山傍水的#别墅#拥有私家花园和游泳池，是城市精英们周末度假的理想去处。	他们一家人每年夏天都会去海边的#别墅#住上一个月，享受远离城市喧嚣的悠闲时光。	这个高档住宅区里的#别墅#每栋都配有独立车库和地下酒窖，售价高达数千万元。	退休后，老两口卖掉了市区的公寓，在郊区买了一栋带院子的#别墅#，过起了种花养草的田园生活。	这栋建于民国时期的老#别墅#经过精心修缮，如今已成为当地著名的历史文化景点。	房产中介带客户参观了这套三层#别墅#，宽敞的客厅和落地窗外的湖景让客户非常满意。	度假村里的每栋#别墅#都采用了独特的设计风格，有的是地中海风情，有的是东南亚风格，各具特色。			
当做	dang4 zuo4	把某事当成	他把这次失败#当做#一次宝贵的学习机会，认真总结经验教训，为下一次挑战做好准备。	老师把每一次课堂提问都#当做#检验学生学习效果的机会，及时调整教学进度和方法。	她把照顾年迈的父母#当做#自己义不容辞的责任，每天下班后都会去父母家陪伴他们。	公司把这次危机#当做#转型升级的契机，大刀阔斧地进行了组织架构和业务模式的改革。	他把每天的晨跑#当做#一种修行，无论刮风下雨都坚持不懈，十年如一日从未间断。	年轻人应该把工作中的困难#当做#磨练自己的机会，而不是逃避退缩的借口。	她把志愿服务#当做#生活的一部分，每个周末都会去养老院陪老人聊天，帮他们打扫卫生。			
当做	dang4 zuo4	将某物看作某种情况	很多人把网络上的信息#当做#事实，却不知道其中有大量未经核实的谣言和虚假内容。	他把父亲的沉默#当做#默许，于是擅自做出了那个改变命运的决定，后来才知道自己误解了。	消费者往往把品牌知名度#当做#产品质量的保证，却忽略了实际使用体验才是最重要的。	她把同事的客套话#当做#真心的赞美，高兴了好几天，直到朋友点醒她才恍然大悟。	投资者不应该把过去的收益#当做#未来回报的保证，市场风险随时可能让预期落空。	他把领导的批评#当做#针对个人的攻击，心里一直耿耿于怀，影响了后来的工作状态。	很多家长把孩子的成绩#当做#衡量教育成功与否的唯一标准，却忽视了品格培养的重要性。			
当做	dang4 zuo4	以某种身份或方式看待	她一直把邻居家的老奶奶#当做#自己的亲人，逢年过节都会送去亲手做的饭菜和点心。	同事们都把他#当做#团队的主心骨，遇到棘手的问题总是第一时间向他请教。	虽然没有血缘关系，但养父母一直把她#当做#亲生女儿，给予了无微不至的关爱。	学生们把这位年轻的班主任#当做#知心朋友，愿意和她分享学习生活中的喜怒哀乐。	他把公司#当做#自己的家，二十年来兢兢业业，见证了企业从小作坊发展成行业龙头。	村民们把这位驻村干部#当做#自家人，他离任时全村老少都来送行，场面十分感人。	她把每一位顾客都#当做#贵宾来接待，热情周到的服务让这家小店积累了大量回头客。			
