白灵穿过小巷走到礼堂门口，只看见三个卫兵守侍在那里，有两个验查入场卷的便装工作人员，气氛显得轻松并不紧张。	白 灵 穿过 小巷 走 到 礼堂 门口 ， 只 看见 三 个 卫兵 守 侍 在 那里 ， 有 两 个 验 查 入场 卷 的 便装 工作人员 ， 气氛 显得 轻松 并不 紧张 。
陶部长既有一表人才，又擅长演讲，一言一行和言语中的神态都显示南京政府官员居高临下的气魄，也显示出与地方官员的截然区别。	陶 部长 既 有 一 表 人才 ， 又 擅长 演讲 ， 一言一行 和 言语 中 的 神态 都 显示 南京 政府官员 居高临下 的 气魄 ， 也 显示 出 与 地方 官员 的 截然 区别 。
白灵穿小巷走背街逃回枣刺巷，鹿兆鹏正焦急地等待着她，屋子里的铺盖被褥和简单的行李已捆扎整齐。得挪个窝儿。	白 灵 穿 小巷 走 背 街 逃 回 枣 刺 巷 ， 鹿 兆 鹏 正 焦急 地 等待 着 她 ， 屋子 里 的 铺盖 被褥 和 简单 的 行李 已 捆扎 整齐 。 得 挪 个 窝 儿 。
说罢搂住白灵，抚着她的肩膀：“你一砖头砸歪了陶部长的鼻子，也把我们的窝砸塌了。”	说 罢 搂住 白 灵 ， 抚 着 她 的 肩膀 ： “ 你 一 砖头 砸 歪 了 陶 部长 的 鼻子 ， 也 把 我们 的 窝 砸 塌 了 。 ”
学生们仍然叫他黑娃，兆鹏也叫他黑娃，只有孝文孝武记住了他爸起下的名字，每唤必是兆谦。	学生 们 仍然 叫 他 黑 娃 ， 兆 鹏 也 叫 他 黑 娃 ， 只有 孝 文 孝 武 记住 了 他 爸 起 下 的 名字 ， 每 唤 必 是 兆 谦 。
再回头看看，花依旧嫣然不语。“如此娉婷，谁人解看花意”，你更沉默，几乎热情地感到花的寂寞，开始怜花，把同情统统诗意地交给了花心！	再 回头 看看 ， 花 依旧 嫣然 不语 。 “ 如此 娉婷 ， 谁 人 解 看 花 意 ” ， 你 更 沉默 ， 几乎 热情 地 感到 花 的 寂寞 ， 开始 怜 花 ， 把 同情 统统 诗意 地 交给 了 花心 ！
情绪即使根本相同，情绪的象征，情绪所寄托，所栖止的事物却常常不同。水和星子同西方情绪的联系，早就成了习惯。	情绪 即使 根本 相同 ， 情绪 的 象征 ， 情绪 所 寄托 ， 所 栖 止 的 事物 却 常常 不同 。 水 和 星 子 同 西方 情绪 的 联系 ， 早就 成了 习惯 。
一颗星子在蓝天里闪，一流冷涧倾泻一片幽愁的平静，便激起他们诗情的波涌，心里甜蜜地、热情地便唱着由那些鹅羽的笔锋散下来的“	一 颗 星 子 在 蓝天 里 闪 ， 一 流 冷 涧 倾泻 一 片 幽 愁 的 平静 ， 便 激起 他们 诗 情 的 波 涌 ， 心里 甜蜜 地 、 热情 地 便 唱 着 由 那些 鹅 羽 的 笔锋 散 下来 的 “
惜花，解花太东方，亲昵自然，含着人性的细致是东方传统的情绪。	惜 花 ， 解 花 太 东方 ， 亲昵 自然 ， 含 着 人性 的 细致 是 东方 传统 的 情绪 。
从前，对于词集有偏嗜，有见必收，后来，兴趣淡了些，便于无意中失收了不少好词集。凡此种种，皆寄托着个人的感情。如鱼饮水，冷暖自知。	从前 ， 对于 词 集 有 偏 嗜 ， 有 见 必 收 ， 后来 ， 兴趣 淡 了 些 ， 便 于 无意中 失 收 了 不少 好 词 集 。 凡 此 种种 ， 皆 寄托 着 个人 的 感情 。 如 鱼 饮水 ， 冷暖自知 。
一连串的问题被提出来了：当初先皇对继承人的问题犹豫不决，在中枢任要职的人何以不慷慨直言？	一连串 的 问题 被 提出 来 了 ： 当初 先皇 对 继承人 的 问题 犹豫不决 ， 在 中枢 任 要职 的 人 何以 不 慷慨 直言 ？
本朝的制度，应当说是不能听任这种党争发展的。我们的司法制度极为简单，缺乏判决争端的根据。	本朝 的 制度 ， 应当 说 是 不能 听任 这种 党 争 发展 的 。 我们 的 司法 制度 极为 简单 ， 缺乏 判决 争端 的 根据 。
在这种具体情况下，只有使全部文官按照“四书”的教导，以忠厚之道待人接物，约束自己的私心，尊重别人的利益，大事化小，小事化无，	在 这种 具体 情况 下 ， 只有 使 全部 文 官 按照 “ 四书 ” 的 教导 ， 以 忠厚 之 道 待人接物 ， 约束 自己 的 私心 ， 尊重 别人 的 利益 ， 大事 化 小 ， 小事 化 无 ，
要是官员们口诵经典中的词句，称自己为君子，别人为小人，在道德的掩盖下夺利争权，这就是把原则整个颠倒了。	要是 官员 们 口 诵 经典 中 的 词句 ， 称 自己 为 君子 ， 别人 为 小人 ， 在 道德 的 掩盖 下 夺 利 争 权 ， 这 就是 把 原则 整个 颠倒 了 。
但是当日的申时行并没有足够的力量影响舆论，此后的影响则更为微弱。	但是 当日 的 申 时 行 并 没有 足够 的 力量 影响 舆论 ， 此后 的 影响 则 更为 微弱 。
——当然，你可以想象得到，虽然晚下了班，肚子也有点饿了，可是无着股的同志是带了别人不能了解的笑脸走出他们的办公室的。	— — 当然 ， 你 可以 想象 得到 ， 虽然 晚 下 了 班 ， 肚子 也 有点 饿 了 ， 可是 无着 股 的 同志 是 带 了 别人 不能 了解 的 笑脸 走出 他们 的 办公室 的 。
从百分之十二到百分之五十二，新中国成立前后的分别在此！当然，你可以想象，无着股的工作绝非是孤立的，突出的。	从 百分之 十二 到 百分之 五十 二 ， 新 中国 成立 前后 的 分别 在此 ！ 当然 ， 你 可以 想象 ， 无着 股 的 工作 绝非 是 孤立 的 ， 突出 的 。
为什么新中国成立前跟新中国成立后有这样的鲜明的对照呢？	为什么 新 中国 成立 前 跟 新 中国 成立 后 有 这样 的 鲜明 的 对照 呢 ？
今天，我们的邮政工作同志大部分都继承了五十多年邮政工作的丰富的经验，发挥了以前被压抑埋伏的群众的创造能力，	今天 ， 我们 的 邮政 工作 同志 大部分 都 继承 了 五十 多年 邮政 工作 的 丰富 的 经验 ， 发挥 了 以前 被 压抑 埋伏 的 群众 的 创造 能力 ，
你一定时常有机会经过邮政管理局，你在这座坚实巨大的石质建筑物下面走过不知多少次了。	你 一定 时常 有 机会 经过 邮政 管理 局 ， 你 在 这 座 坚实 巨大 的 石质 建筑物 下面 走过 不知 多少 次 了 。
有时尚未开工，争执已起。所以中枢虽不直接领导工程的设计和进行，但是它所采取的立场，却必然对全盘形势产生决定性的影响。	有时 尚未 开工 ， 争执 已 起 。 所以 中枢 虽 不 直接 领导 工程 的 设计 和 进行 ， 但是 它 所 采取 的 立场 ， 却 必然 对 全盘 形势 产生 决定性 的 影响 。
