word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
其后	qi2 hou4	随后	他在会议上提出了改革方案，#其后#便开始着手组建专门的工作小组来推进各项措施的落实。	这位作家在二十世纪初发表了第一部小说，#其后#陆续出版了十余部作品，逐渐奠定了他在文坛的地位。	警方接到报案后立即赶往现场，#其后#又调集了更多警力对周边地区进行地毯式搜索。	她先是在基层锻炼了三年，#其后#被调往总部担任部门主管，职业发展可谓顺风顺水。	这场暴风雨持续了整整一夜，#其后#天空放晴，彩虹横跨在城市上空，美不胜收。	研究团队首先完成了理论模型的构建，#其后#便投入大量资源进行实验验证，最终取得了突破性进展。			
其后	qi2 hou4	在那之后	自从那次失败的创业经历之后，他变得更加谨慎，#其后#的每一个决定都经过深思熟虑。	她在大学毕业典礼上发表了感人的演讲，#其后#的人生道路也如她所言，充满了挑战与收获。	那场改变命运的相遇发生在十年前的春天，#其后#两人携手走过了无数风风雨雨。	公司在经历了那次重大危机之后进行了彻底的改革，#其后#的发展势头一直保持强劲。	他在那次事故中失去了双腿，但#其后#凭借顽强的意志重新站了起来，成为残奥会冠军。	那个历史性的协议签署于一九七八年，#其后#两国关系进入了全新的发展阶段。			
生殖	sheng1 zhi2	生物繁殖	这种珍稀鱼类的#生殖#周期长达五年，这也是其种群数量难以恢复的重要原因之一。	科学家们正在研究如何通过人工干预来提高大熊猫的#生殖#成功率，以挽救这一濒危物种。	海龟每年都会回到出生地的海滩进行#生殖#活动，这种本能行为令科学家们惊叹不已。	该研究所专门从事水产动物#生殖#技术的研发，已经成功培育出多个优良品种。	环境污染对许多野生动物的#生殖#能力造成了严重影响，导致部分物种面临灭绝的危险。	植物的#生殖#方式多种多样，既有通过种子繁殖的有性生殖，也有通过扦插等方式的无性生殖。			
生殖	sheng1 zhi2	生长或兴盛	这片土地肥沃，阳光充足，各种农作物在此#生殖#繁茂，年年都能获得丰收。	古人认为春天是万物#生殖#的季节，因此许多祭祀活动都安排在这个时节举行。	在那个太平盛世，百业#生殖#，商贾云集，城市呈现出一派繁荣景象。	这种植物在温暖湿润的环境中#生殖#得特别旺盛，短短几个月就能覆盖整片山坡。	古籍记载，此地水草丰美，牛羊#生殖#，是游牧民族理想的栖息之地。	经过多年的生态修复，这片曾经荒芜的土地如今草木#生殖#，重新焕发了生机。			
用作	yong4 zuo4	被用作某种用途	这座古老的建筑曾经是一座寺庙，后来被#用作#学校，培养了无数优秀人才。	研究人员发现这种化合物可以#用作#新型抗生素的原料，有望解决细菌耐药性问题。	废弃的轮胎经过加工处理后可以#用作#铺设操场跑道的材料，既环保又实用。	这种传统的天然染料在古代主要#用作#丝绸和棉布的着色剂，至今仍受到手工艺人的青睐。	政府计划将这块闲置土地#用作#建设社区公园，为居民提供休闲娱乐的场所。	这种特殊的合金材料因其耐高温的特性，常被#用作#航空发动机关键部件的制造原料。			
用作	yong4 zuo4	充当某种身份或功能	在这部电影中，那座废弃的工厂#用作#故事发生的主要场景，营造出独特的末世氛围。	他虽然是公司的技术总监，但在这个项目中#用作#团队的协调人，负责各部门之间的沟通。	这个小型会议室平时#用作#员工休息区，只有在需要时才恢复其原本的功能。	在传统婚礼上，红枣和花生常常#用作#吉祥的象征，寄托着人们对新人的美好祝福。	这位退休教授现在#用作#青年学者的导师，将毕生所学倾囊相授。	那棵百年老槐树#用作#村民们聚会议事的地标，见证了这个村庄几代人的悲欢离合。			
行令	xing2 ling4	下命令	将军站在高台上向全军#行令#，命令士兵们做好战斗准备，随时听候调遣。	古代帝王通过颁布诏书来#行令#天下，各级官员必须严格遵照执行。	这位新上任的厂长雷厉风行，#行令#果断，很快就扭转了工厂亏损的局面。	在紧急情况下，指挥官必须迅速#行令#，任何犹豫都可能导致不可挽回的后果。	他虽然位高权重，但从不滥用职权随意#行令#，而是事事与下属商议后再做决定。	古代军队中，#行令#必须通过特定的旗语和鼓声来传达，以确保命令能够准确无误地执行。			
行令	xing2 ling4	在酒局上命人喝酒	宴席上宾主尽欢，主人#行令#让大家轮流说一个带"月"字的诗句，说不出来的要罚酒三杯。	古人饮酒时喜欢#行令#助兴，既考验才学又增添乐趣，是文人雅士社交的重要方式。	她在朋友聚会上担任#行令#官，想出各种有趣的游戏规则，让整个酒局笑声不断。	那位才子在酒宴上#行令#，要求每人即兴作诗一首，输者需饮酒一杯，气氛十分热烈。				
别子	bie2 zi5	门或箱上的搭扣或闩	这个老式木箱的#别子#已经生锈了，费了好大劲才把它打开，里面装满了泛黄的老照片。	工匠师傅正在给新做的柜门安装铜制#别子#，这种传统工艺如今已经很少有人会做了。	她轻轻拨开门上的#别子#，推门走进那间尘封已久的老屋，往事如潮水般涌上心头。	这扇古董柜的#别子#设计十分精巧，既美观又实用，体现了古代工匠的高超技艺。	爷爷小心翼翼地扣上箱子的#别子#，里面珍藏着他年轻时与奶奶的书信往来。	博物馆里陈列着一件明代的漆器首饰盒，其上的鎏金#别子#依然闪闪发光，令人赞叹。			
别子	bie2 zi5	作为挂饰的小坠子或吊件	她的手机上挂着一个精致的玉石#别子#，是母亲送给她的生日礼物，从不离身。	这条项链的#别子#是用老银打造的，上面刻着精美的花纹，是奶奶传下来的老物件。	小女孩央求妈妈给她买那个可爱的卡通#别子#，说要挂在书包上当装饰。	他从古玩市场淘到一个清代的翡翠#别子#，虽然个头不大，但雕工极为精细。	这款限量版手表配有一个纯金#别子#，可以挂在表链上作为点缀，尽显奢华品味。	传统的中国结下面通常会系一个#别子#，既增添美感，又寓意吉祥如意。			
