word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
操	cao1	使用或讲某种语言	他虽然是土生土长的广东人，却能#操#一口流利的普通话，让人完全听不出口音。	这位外交官精通多国语言，能够熟练地#操#英语、法语和阿拉伯语进行国际谈判。	老教授在国外生活了三十年，回国后依然#操#着地道的家乡方言和邻居们聊天。	她从小在双语环境中长大，#操#中文和日语都毫不费力，切换自如。	那位来自非洲的留学生#操#着一口带有浓重口音的中文，在街头向路人问路。	集市上的商贩们#操#着各地方言讨价还价，场面热闹非凡，充满了生活气息。	这位传教士在中国生活了二十年，#操#一口流利的四川话，当地人都把他当成自己人。	记者采访时发现，这个偏远山村的老人们仍然#操#着一种即将消失的古老方言。

操作	cao1 zuo4	从事具体工作或业务	银行柜台的工作人员每天要#操作#大量的存取款业务，必须保持高度的专注和细心。	他在证券公司#操作#股票交易已经十多年了，积累了丰富的实战经验。	会计师事务所要求每位员工严格按照规范流程#操作#审计业务，不得有任何疏漏。	新入职的护士需要在资深护士的指导下#操作#各项护理业务，确保患者安全。	这家外贸公司的业务员熟练#操作#进出口报关流程，每月处理上百笔订单。	实验室的研究人员必须按照标准程序#操作#每一步实验，否则数据就不具备可重复性。	他负责#操作#公司的跨境支付业务，每天要处理来自十几个国家的汇款。	仓库管理员按照系统提示#操作#出入库流程，确保每一件货物都有据可查。

操作	cao1 zuo4	操纵机器或设备使其运行	工人们经过严格培训后才能#操作#车间里的大型数控机床，以确保生产安全。	飞行员在起飞前需要仔细检查仪表盘，确认一切正常后才开始#操作#飞机。	这台新型3D打印机的#操作#界面非常友好，即使是初学者也能快速上手。	医生通过远程系统#操作#手术机器人，成功为千里之外的患者完成了微创手术。	爷爷不太会#操作#智能手机，每次视频通话都需要孙女在旁边帮忙指导。	挖掘机司机熟练地#操作#着操纵杆，巨大的铲斗精准地挖起一斗斗泥土。	实验员小心翼翼地#操作#着电子显微镜，观察纳米材料的微观结构。	工厂引进了全自动化生产线，工人只需在控制室里#操作#电脑就能完成整个生产流程。

操作	cao1 zuo4	暗中控制以影响结果	调查发现，有人在幕后#操作#这次招标过程，导致结果早已内定。	他被指控暗中#操作#股价，通过虚假交易制造市场波动从中牟取暴利。	这场选举的结果令人质疑，很多人怀疑有政治势力在背后#操作#整个投票过程。	媒体揭露了某些利益集团#操作#舆论的手段，他们雇佣水军制造虚假的网络热点。	检察机关查明，这起工程项目的中标结果完全是被人暗箱#操作#的，涉案金额巨大。	他利用职务之便#操作#人事任命，把自己的亲信安插到各个关键岗位上。	这家公司的财务报表被人为#操作#过，实际亏损被伪装成了盈利来欺骗投资者。	国际社会谴责某些大国试图#操作#联合国的决议，以维护自身的地缘政治利益。

在前	zai4 qian2	空间或时间上处于前面	马拉松比赛进行到一半时，肯尼亚选手一直#在前#领跑，优势非常明显。	老师让个子矮的同学站#在前#排，这样就不会被高个子挡住视线了。	车队行驶在山路上，领航车#在前#开道，后面的车辆依次跟随保持安全距离。	排队买票的人很多，他来得早所以排#在前#面，只等了十分钟就买到了。	登山队长走#在前#面探路，确认安全后才招呼队员们跟上来。	游行队伍中，举着横幅的学生们走#在前#面，后面跟着浩浩荡荡的市民群众。	她的成绩一直排#在前#几名，是班里公认的学霸，老师们都对她赞赏有加。	消防员冲#在前#面率先进入火场，冒着生命危险搜救被困的居民。

在前	zai4 qian2	过去曾处于之前	#在前#几年经济形势好的时候，这家工厂的订单多得做不完，工人们天天加班。	#在前#不久召开的股东大会上，董事长宣布了公司未来五年的战略发展规划。	他#在前#一段时间因为工作压力太大病倒了，休养了一个月才恢复健康。	#在前#两届比赛中她都获得了冠军，这次卫冕之路却充满了挑战。	#在前#几个月的市场调研中，我们发现消费者对这类产品的需求正在快速增长。	这座桥#在前#些年经历过一次大规模修缮，现在的承重能力比以前提高了不少。	#在前#一任校长的带领下，学校的教学质量有了显著提升，升学率连年攀升。	他#在前#半年的实习期间表现优异，转正后很快就被提拔为项目组长。

