word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
不足	bu4 zu2	办不到，不能实现	这件事情的难度太大，仅凭我们现有的资源和人手#不足#以在截止日期前完成全部任务。	他的英语水平#不足#以应对国际会议上的同声传译工作，还需要继续深造提高。	光靠一腔热情#不足#以解决如此复杂的技术难题，还需要扎实的专业知识作为支撑。	区区几万块钱的预算#不足#以支撑这个大型项目的运营，我们必须另外寻找融资渠道。	他目前的学历和经验#不足#以胜任这个高级管理岗位，建议先从基层做起积累经验。	这些证据#不足#以证明嫌疑人有罪，检察院决定暂时不予起诉。						
不足	bu4 zu2	不应当，不该做的	这种投机取巧的行为实在#不足#取，长远来看只会损害自己的信誉和前途。	他的那些花言巧语#不足#信，上次他就是用同样的手段骗了好几个人。	这种小道消息#不足#为凭，我们还是等官方发布正式通告再做决定吧。	区区小事#不足#挂齿，邻里之间互相帮忙是应该的，你不必放在心上。	他的所作所为#不足#为训，年轻人千万不要学他那种急功近利的做法。	这点困难#不足#为惧，我们团队经历过比这更严峻的考验都挺过来了。	一次失败#不足#为奇，科学研究本来就是在不断试错中前进的过程。	他的学术水平#不足#为道，发表的论文大多是拼凑而成，缺乏原创性。

东京	Dong1 jing1	日本首都东京	去年暑假我和家人一起去#东京#旅游，参观了浅草寺和东京塔等著名景点。	#东京#的地铁系统四通八达，虽然线路复杂但标识清晰，外国游客也能轻松换乘。	二〇二〇年奥运会原定在#东京#举办，后来因为疫情推迟了一年才正式开幕。	他大学毕业后申请到了#东京#大学的研究生项目，即将赴日深造。	#东京#的物价在全球城市中名列前茅，一碗普通的拉面就要将近一千日元。	每年春天，#东京#的上野公园都会吸引大批游客前来赏樱，场面十分壮观。	作为日本的政治经济中心，#东京#汇聚了大量跨国企业的亚太区总部。	#东京#湾沿岸的台场地区是年轻人最喜欢的休闲娱乐场所之一。
东京	Dong1 jing1	法属时期北越的地名	十九世纪末法国殖民者将越南北部地区称为#东京#，并以此为基础建立了殖民统治体系。	在法属印度支那时期，#东京#是指以河内为中心的越南北部区域，与南部的交趾支那相对应。	历史课上老师讲到，法国人所说的#东京#并非日本首都，而是越南北部的旧称。	#东京#湾事件是越南战争升级的重要导火索，这里的东京指的是越南北部的旧地名。	法国殖民时期的地图上，越南北部被标注为#东京#，这个名称源自越南语对河内的古称。	十九世纪的西方文献中经常出现#东京#一词，指代的是法属印度支那北部的保护领地。	研究越南殖民史的学者指出，#东京#这一地名反映了西方列强对东南亚地区的文化误读。	在法国统治下，#东京#地区的民众多次发起反殖民起义，为争取民族独立进行了不懈斗争。

东北	Dong1 bei3	中国东北地区	我爷爷是#东北#人，年轻时从黑龙江来到北京工作，但至今仍保留着浓重的东北口音。	#东北#的冬天特别寒冷，气温经常降到零下三十度，出门必须穿厚厚的棉衣。	近年来#东北#经济面临转型压力，许多老工业基地正在积极探索新的发展路径。
东北	dong1 bei3	东北方向	从这个路口往#东北#方向走大约五百米，就能看到一座白色的教堂。	台风目前位于菲律宾以东洋面，正以每小时二十公里的速度向#东北#方向移动。	根据地图显示，目的地在我们当前位置的#东北#方向，开车大约需要四十分钟。	这座山的#东北#坡常年背阴，积雪到了五月份才开始融化，植被也比南坡稀疏得多。	侦察兵报告说敌军主力正从#东北#方向逼近，指挥官立即下令调整防御部署。	天文台观测到一颗流星从#东北#方向划过夜空，亮度极高，持续了将近三秒钟。

查	Zha1	查姓	我们公司新来的财务总监姓#查#，据说他是金庸先生的远房亲戚，因为金庸本名就叫查良镛。	历史上#查#姓家族在安徽和浙江一带颇有名望，出过不少文人墨客和朝廷命官。	班上有个同学姓#查#，很多人第一次看到他名字时都会念错，把查念成了第二声。	#查#姓在百家姓中虽然不算常见，但在江南地区却有着悠久的家族传承历史。	我的邻居#查#大爷是个退休教师，每天早上都会在小区花园里打太极拳。	族谱记载，#查#氏一族最早可追溯到春秋时期，祖籍在今天的山东一带。	著名武侠小说家金庸原名#查#良镛，他的笔名取自"镛"字拆分而成。	小#查#是我们部门最年轻的工程师，虽然入职不久但工作能力很强。
查	cha2	研究或探究某事物	这位教授花了十年时间#查#阅大量历史档案，终于完成了这部关于明代经济的学术专著。	为了写好这篇论文，她每天泡在图书馆里#查#资料，翻阅了上百本相关文献。	记者深入基层#查#访民情，写出了一系列反映农村真实状况的调查报道。	科研团队正在#查#证这种新型材料的物理特性，希望能找到更广泛的应用场景。	他对这个课题产生了浓厚兴趣，决定利用假期时间深入#查#究其中的科学原理。	考古学家通过#查#考出土文物上的铭文，成功破译了这段失传已久的古代文字。	学术委员会要求申请人提交的所有数据都必须经得起#查#证，确保研究成果的可靠性。	为了弄清楚这种罕见疾病的发病机制，医学团队#查#阅了全球范围内的相关病例报告。

