sentence	spans	defs
而宜兰县龟山岛的龟首亦因此次地震发生土石崩落。	1:宜兰/宜兰县 11:因此 12:此次 14:地震 16:发生 17:生土 20:崩落	发生 [fa1 sheng1] to happen; to occur; to take place; to break out; 因此 [yin1 ci3] thus; consequently; as a result; 宜兰 [Yi2 lan2] Yilan city and county 宜蘭縣|宜兰县[Yi2 lan2 Xian4], northeast ...; 宜兰县 [Yi2 lan2 Xian4] Yilan County in northeast Taiwan; 此次 [ci3 ci4] this time; 生土 [sheng1 tu3] immature soil; virgin soil
我是个大嘴巴，但对像你这样的男人大概特别有吸引力吧	3:大嘴巴 4:嘴巴 11:这样 14:男人 15:人大 16:大概 18:特别 19:别有 21:吸引/吸引力 22:引力	人大 [Ren2 da4] Renmin University of China (abbr. for 中國人民大學|中国人民大学[Zhong... | [ren2 da4] people's congress, a legislative body within the PRC's sy...; 别有 [bie2 you3] to have other; to have a special...; 吸引 [xi1 yin3] to attract; to appeal to; to fascinate; 吸引力 [xi1 yin3 li4] attractive force (such as gravitation) / attractiveness; sex appeal; 嘴巴 [zui3 ba5] mouth (CL:張|张[zhang1]) / slap in the face (CL:個|个[ge4]); 大嘴巴 [da4 zui3 ba5] bigmouth; blabbermouth; 大概 [da4 gai4] roughly; approximately / probably / general idea; 引力 [yin3 li4] gravitation (force) / attraction; 特别 [te4 bie2] special; especially; in particular; 男人 [nan2 ren2] a man; a male / CL:個|个[ge4]
八辈子不联系的人从加拿大飞过来	0:八辈子 1:辈子 4:联系 7:人从 9:加拿大 10:拿大 12:飞过 13:过来	八辈子 [ba1 bei4 zi5] (fig.) a long time; 加拿大 [Jia1 na2 da4] Canada; 拿大 [na2 da4] to put on airs; self-important; 辈子 [bei4 zi5] lifetime; 过来 [guo4 lai2] to come over / to manage; to handle; to take care of | [guo4 lai5] see 過來|过来[guo4 lai2]; 飞过 [fei1 guo4] to fly over; to fly past
防火长城是对中华人民共和国政府在其互联网边界审查系统的统称。	0:防火/防火长城 2:长城 6:中华/中华人民共和国 7:华人 8:人民 10:共和/共和国 12:国政 13:政府 17:互联/互联网 18:联网 20:边界 22:审查 24:系统 27:统称	中华 [Zhong1 hua2] China; Chinese civilization; 中华人民共和国 [Zhong1 hua2 Ren2 min2 Gong4 he2 guo2] People's Republic of China; 互联 [hu4 lian2] interconnected; 互联网 [Hu4 lian2 wang3] Internet; 人民 [ren2 min2] the people / CL:個|个[ge4]; 共和 [gong4 he2] republic; republicanism; 共和国 [gong4 he2 guo2] republic; 华人 [Hua2 ren2] ethnic Chinese person or people; 国政 [guo2 zheng4] national politics / archaic rank, "Minister of State" / common given name; 政府 [zheng4 fu3] government / CL:個|个[ge4]; 联网 [lian2 wang3] to connect (or be connected) to a network; to network; 长城 [Chang2 cheng2] the Great Wall; 防火 [fang2 huo3] to protect against fire; 防火长城 [Fang2 huo3 Chang2 cheng2] Great Firewall of China (system for restricting access to...
现代脚踏钹比现代的镲片重得多，反映出使用更轻薄的撞击镲片以及更重的脚踏钹的趋势。	0:现代 2:脚踏/脚踏钹 6:现代 15:反映 17:出使 18:使用 21:轻薄 24:撞击 28:以及 33:脚踏/脚踏钹 37:趋势	使用 [shi3 yong4] to use; to employ; to apply; 出使 [chu1 shi3] to go on a diplomatic mission; 脚踏 [jiao3 ta4] pedal; 脚踏钹 [jiao3 ta4 bo2] hi-hat (drum kit component)
李翁月娥，中华民国新北市政治人物，现任新北市议员，曾任芦洲市长。	5:中华/中华民国 7:民国 9:新北/新北市 10:北市 11:市政 12:政治/政治人物 14:人物 17:现任 19:新北/新北市 20:北市 21:市议员 22:议员 27:芦洲/芦洲市 29:市长	中华 [Zhong1 hua2] China; Chinese civilization; 中华民国 [Zhong1 hua2 Min2 guo2] Republic of China; 人物 [ren2 wu4] person; personage; figure (esp. sb of importance) / character (in a play, novel etc) / (genre of traditional Chinese painting) figure painting; 北市 [Bei3 Shi4] (Tw) Taipei (abbr. for 臺北市|台北市[Tai2 bei3 Shi4]); 市政 [shi4 zheng4] municipal administration; 市议员 [shi4 yi4 yuan2] city councilor; alderman; 市长 [shi4 zhang3] mayor; 政治 [zheng4 zhi4] politics; political; 政治人物 [zheng4 zhi4 ren2 wu4] political figure; politician; statesman; 新北 [Xin1 bei3] Xinbei district of Changzhou city 常州市[Chang2 zhou1 shi4],... / Hsinpei or New Taipei city in north Taiwan; 新北市 [Xin1 bei3 shi4] New Taipei City, administrative district in north Taiwan,...; 民国 [Min2 guo2] Republic of China (1912-1949); ROC calendar era; 芦洲 [Lu2 zhou1] Luzhou or Luchou city in New Taipei City 新北市[Xin1 bei3 sh...; 芦洲市 [Lu2 zhou1 shi4] Luzhou or Luchou city in New Taipei City 新北市[Xin1 bei3 sh...; 议员 [yi4 yuan2] member of a legislative body; representative
清凉寺是位在日本京都府京都市右京区的净土宗寺院。	0:清凉 6:日本 8:京都/京都府 11:京都 12:都市 18:净土/净土宗 21:寺院	京都 [Jing1 du1] Kyoto, Japan | [jing1 du1] capital (of a country); 京都府 [Jing1 du1 fu3] Kyōto prefecture in central Japan; 净土 [Jing4 tu3] (Buddhism) Pure Land, usually refers to Amitabha Buddha's...; 净土宗 [Jing4 tu3 zong1] Pure Land Buddhism; 都市 [du1 shi4] city; metropolis
林朗彦说，控罪指称他推跌该保安人员是颠倒是非，会在庭上据理力争。	5:控罪 7:指称 13:保安/保安人员 14:安人 15:人员 18:颠倒/颠倒是非 19:倒是 20:是非 27:据理/据理力争 29:力争	人员 [ren2 yuan2] staff; personnel; crew / CL:個|个[ge4]; 保安 [bao3 an1] to ensure security; public security / security guard; 保安人员 [bao3 an1 ren2 yuan2] security personnel; 倒是 [dao4 shi5] actually; on the contrary / why don't you; 力争 [li4 zheng1] to strive for; to contend strongly; 安人 [an1 ren2] to pacify the people / landlady; wife of a landlord; 据理 [ju4 li3] according to reason; in principle; 据理力争 [ju4 li3 li4 zheng1] to argue strongly on solid grounds; 是非 [shi4 fei1] right and wrong / quarrel; 颠倒 [dian1 dao3] to reverse; to turn upside down; to confuse / deranged; crazy; 颠倒是非 [dian1 dao3 shi4 fei1] (idiom) to distort right and wrong; to deliberately mislead
此后历史博物馆致函中央研究院，请该院向内政部交涉解决。	0:此后 2:历史/历史博物馆 4:博物/博物馆 7:致函 9:中央/中央研究院 11:研究/研究院 19:内政/内政部 22:交涉 24:解决	中央 [zhong1 yang1] central; middle; center / central authorities (of a state); 中央研究院 [Zhong1 yang1 Yan2 jiu1 yuan4] Academia Sinica, research institution headquartered in Ta...; 内政 [nei4 zheng4] internal affairs (of a country); 内政部 [Nei4 zheng4 bu4] Ministry of the Interior; 博物 [bo2 wu4] natural science; 博物馆 [bo2 wu4 guan3] museum; 历史 [li4 shi3] history / CL:門|门[men2],段[duan4]; 历史博物馆 [li4 shi3 bo2 wu4 guan3] historical museum; 研究 [yan2 jiu1] research; to research / CL:項|项[xiang4]; 研究院 [yan2 jiu1 yuan4] research institute; academy
成帝元延四年（前9年）巨鹿郡治巨鹿县（今邢台市平乡县西）。	11:巨鹿 13:郡治 15:巨鹿/巨鹿县 20:邢台/邢台市 23:平乡/平乡县	巨鹿 [Ju4 lu4] see 巨鹿縣|巨鹿县[Ju4 lu4 Xian4]; 巨鹿县 [Ju4 lu4 Xian4] Julu, a county in Xingtai City 邢臺市|邢台市[Xing2 tai2 Shi4], ...; 平乡 [Ping2 xiang1] see 平鄉縣|平乡县[Ping2 xiang1 Xian4]; 平乡县 [Ping2 xiang1 Xian4] Pingxiang, a county in Xingtai City 邢臺市|邢台市[Xing2 tai2 Sh...; 邢台 [Xing2 tai2] see 邢臺市|邢台市[Xing2 tai2 Shi4] / see 邢臺縣|邢台县[Xing2 tai2 Xian4]; 邢台市 [Xing2 tai2 Shi4] Xingtai, prefecture-level city in Hebei Province 河北省[He2 ...
