word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
电视台	dian4 shi4 tai2	播放电视节目的机构	这家省级#电视台#最近推出了一档全新的文化类综艺节目，收视率一路攀升。	中央#电视台#的春节联欢晚会是全国观众每年除夕夜必看的经典节目。	她大学毕业后进入当地#电视台#担任新闻记者，经常深入一线采访报道。	这家#电视台#投入巨资打造了一部历史题材的电视剧，邀请了多位知名演员加盟。	地方#电视台#为了提高竞争力，开始尝试与网络平台合作制作原创内容。	他在#电视台#工作了二十多年，从一名普通的摄像师成长为资深的节目制作人。	这家#电视台#的新闻频道以报道及时、内容客观著称，深受广大观众的信赖。	多家#电视台#联合转播了这场重要的国际体育赛事，吸引了数亿观众收看。
语	yu3	地区性的方言或土语	他虽然在北京生活了多年，但说话时偶尔还是会带出几句家乡的方言土#语#。	这个偏远山村的老人们至今仍然使用一种外人几乎听不懂的古老#语#言土话。	研究人员深入少数民族聚居区，记录和整理即将消失的濒危方#语#和口头传统。	闽南#语#是中国东南沿海地区广泛使用的一种方言，在海外华人社区中也有大量使用者。	他能说一口流利的粤#语#，这让他在广州的工作和生活中如鱼得水。	吴#语#区的人们说话语调婉转柔和，外地人常常觉得听起来像在唱歌一样。	这部纪录片用当地的土#语#进行旁白配音，真实地还原了那个年代农村生活的面貌。	语言学家发现这种#语#与古汉语有着密切的渊源关系，保留了许多中古时期的语音特征。
语	yu3	人们用于交际的语言系统	汉#语#是世界上使用人数最多的语言，也是联合国六种官方工作语言之一。	随着中国国际影响力的提升，越来越多的外国人开始学习汉#语#和中国文化。	英#语#作为国际通用语言，在全球商务、科技和学术交流中发挥着重要的桥梁作用。	这所大学开设了日#语#、韩#语#、法#语#等多个小语种专业，满足学生的多样化需求。	她精通三门外#语#，能够在不同语言之间自如切换，是公司不可或缺的翻译人才。	联合国的文件需要翻译成六种官方#语#言，这对翻译团队的专业能力提出了很高的要求。	计算机编程#语#言虽然不是自然语言，但它同样有着严格的语法规则和逻辑结构。	学习一门新的#语#言不仅能拓宽视野，还能帮助我们更好地理解不同文化的思维方式。
语	yu3	口头表达的言语或措辞	他的一番话#语#重心长，让在场的年轻人深受触动，纷纷表示要更加努力工作。	老师的#语#气虽然严厉，但字里行间都透露着对学生的关心和期望。	她说话时#语#速很快，加上浓重的口音，让初次见面的人很难完全听懂。	演讲者的#语#调抑扬顿挫，富有感染力，台下的听众不时报以热烈的掌声。	他在信中用了非常恳切的#语#句，表达了对老师多年培养之恩的深深感激。	外交官的#语#言措辞非常讲究，每一个用词都经过反复斟酌，力求准确得体。	这篇文章的#语#言朴实无华，却蕴含着深刻的人生哲理，读来令人回味无穷。	她安慰朋友时总是能找到最恰当的#语#句，让对方感到温暖和被理解。
语	yu4	告诉或使某人知道某事	古人云"不以规矩，不能成方圆"，先贤以此#语#后人要遵守规则和制度。	临行前母亲含泪#语#他在外要照顾好自己，遇到困难不要硬撑，随时可以回家。	师父临终前#语#弟子们要谨记门规，不可恃武行凶，要以济世救人为己任。	老将军在战前#语#士兵们此战关乎国家存亡，务必奋勇杀敌，不可退缩。	族长召集全族人开会，#语#众人要团结一心，共同度过这个艰难的时期。	父亲在家书中#语#儿子读书要勤勉刻苦，不可虚度光阴，辜负家人的期望。	先生临别时#语#学生们要心怀天下，学成之后报效国家，造福百姓。	长老#语#年轻的修行者，修道之路漫长而艰辛，唯有持之以恒方能有所成就。

满足	man3 zu2	使别人或自己满意	这家餐厅的菜品种类丰富，能够#满足#不同口味顾客的需求。	为了#满足#市场对新能源汽车日益增长的需求，公司决定扩大生产线的规模。	父母总是尽最大努力#满足#孩子的合理要求，但也会教导他们学会节制。	这款软件的功能非常强大，基本上能#满足#中小企业日常办公的所有需要。	图书馆延长了开放时间，以#满足#考试季学生们对自习空间的迫切需求。	新推出的套餐方案旨在#满足#不同消费层次用户的个性化需求。	他为了#满足#妻子想去欧洲旅行的愿望，加班加点工作了整整半年攒够了旅费。	政府加大了保障性住房的建设力度，努力#满足#低收入家庭的基本居住需求。
满足	man3 zu2	内心充足知足的状态	她对现在的生活感到非常#满足#，有一份稳定的工作，家庭和睦，孩子健康成长。	老人坐在院子里晒着太阳，脸上露出#满足#的笑容，享受着这份难得的宁静。	虽然收入不算很高，但他对自己的生活状态很#满足#，觉得平淡中自有一番幸福。	看到学生们一个个考上理想的大学，老师脸上洋溢着#满足#和欣慰的表情。	她品尝了一口刚出炉的蛋糕，露出了#满足#的神情，连连称赞味道好极了。	退休后他每天种花养鸟，过着悠闲自在的日子，内心感到无比#满足#和充实。	孩子收到生日礼物后开心地笑了，那种纯真的#满足#感让在场的大人们都被感染了。	经过多年的奋斗终于买了属于自己的房子，他站在新家里感到前所未有的#满足#。
周	Zhou1	周姓	#周#老师是我们学校最受学生欢迎的语文老师，她的课堂总是生动有趣。	隔壁的#周#大爷今年八十岁了，身体依然硬朗，每天早上都去公园打太极拳。	#周#经理在公司工作了十五年，从基层员工一步步晋升到管理岗位。	我们班的#周#同学在这次数学竞赛中获得了一等奖，为学校争了光。	#周#医生是这家医院的骨科专家，很多外地患者慕名前来找他看病。	小区里的#周#阿姨热心肠，谁家有困难她都会主动帮忙，邻居们都很感激她。	#周#师傅在这家工厂干了三十年，是厂里公认的技术能手和老前辈。	#周#教授的学术报告深入浅出，即使是非专业人士也能听得津津有味。
周	Zhou1	周朝	#周#朝是中国历史上延续时间最长的朝代，前后共计约八百年。	西#周#时期实行的分封制和宗法制对后世的政治制度产生了深远的影响。	#周#代的青铜器工艺达到了中国古代冶金技术的巅峰，许多精美的器物至今令人叹为观止。	孔子一生推崇#周#礼，认为恢复周朝的礼乐制度是实现社会和谐的根本途径。	考古学家在陕西发现了一处#周#朝的大型墓葬群，出土了大量珍贵的文物。	#周#朝建立之初，周武王分封诸侯以巩固统治，形成了天子与诸侯共治天下的格局。	东#周#时期诸侯争霸，战乱频繁，但也催生了百家争鸣的思想繁荣局面。	#周#朝的礼乐文化对中华文明的形成和发展起到了奠基性的作用。
周	zhou1	绕行或走一圈	他每天早上都会沿着小区的花园#周#行一圈，当作晨练锻炼身体。	游客们乘坐观光船绕湖#周#游了一圈，沿途欣赏了两岸秀丽的自然风光。	巡逻队每隔两小时就会沿着厂区围墙#周#巡一次，确保安全万无一失。	导游带领大家沿着古城墙#周#行一圈，详细讲解了每一段城墙背后的历史故事。	卫星绕地球#周#转一圈大约需要九十分钟，每天可以完成十六次轨道飞行。	运动员们沿着跑道#周#跑了三圈之后才开始进行正式的训练项目。	保安每晚都要绕着整栋大楼#周#巡一遍，检查所有门窗是否关好。	他骑着自行车沿着西湖#周#游了一圈，全程大约十五公里，风景美不胜收。
