word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
程序	cheng2 xu4	动作或事件的连续顺序	婚礼的#程序#从迎宾开始，接着是证婚、交换戒指、敬茶，最后才是宴席，每个环节都有严格的时间安排。	工厂的生产#程序#必须严格按照先检验原材料、再加工、后质检的顺序进行，任何一个步骤都不能颠倒。	手术前护士详细向患者解释了整个手术的#程序#，从麻醉到切开再到缝合，让患者心里有了底。	传统茶道的#程序#十分讲究，从温杯、投茶、注水到出汤，每一步都有其特定的意义和顺序。	申请签证的#程序#相当繁琐，需要先预约、再提交材料、然后面试，整个过程可能需要数周时间。	科学实验必须遵循严格的#程序#，从假设到验证再到结论，每一步都要有详细的记录和数据支持。	古代祭祀的#程序#极为庄重，从斋戒、沐浴到献祭、祈祷，整个仪式持续数日之久。	急救培训中老师强调了心肺复苏的#程序#，先检查意识、再呼叫求助、然后进行胸外按压和人工呼吸。			
程序	cheng2 xu4	组织安排的次序或秩序	会议主持人宣布按照既定#程序#进行，先由各部门汇报工作，再讨论下季度计划，最后由领导总结发言。	法院审理案件必须遵守法定#程序#，从立案、调查取证到开庭审理、宣判，每个环节都有明确的法律规定。	公司的招聘#程序#非常规范，所有应聘者都要经过简历筛选、笔试、面试和背景调查四个阶段。	议会通过法案需要经过严格的立法#程序#，包括提案、审议、表决和公布等多个环节。	学校的评优#程序#要求先由班级推荐，再经年级审核，最后由校委会投票决定。	政府采购必须按照公开透明的#程序#进行，从发布公告到开标评标，全程接受社会监督。	选举委员会强调本次投票将严格按照民主#程序#进行，确保每一张选票都能得到公正的计算。	行政审批改革的目标是简化办事#程序#，让群众少跑腿、少排队，提高政府服务效率。			
程序	cheng2 xu4	计算机中的程序或软件	这款杀毒#程序#能够实时监控系统，一旦发现可疑文件就会立即隔离并发出警报。	程序员花了三个月时间开发这个数据分析#程序#，它可以自动处理海量数据并生成可视化报表。	电脑突然死机可能是因为某个后台#程序#占用了过多内存，建议重启后检查任务管理器。							
秘密	mi4 mi4	隐秘的或机密的	这份文件属于国家#秘密#级别，未经授权任何人不得查阅、复制或传播其中的内容。	公司对新产品的研发计划采取#秘密#措施，所有参与人员都签署了保密协议，不得向外界透露任何信息。	警方对这次行动进行了#秘密#部署，连参与的警员都是在出发前一刻才知道具体任务内容。	两国政府通过#秘密#外交渠道进行了多轮磋商，最终就边境争端达成了初步共识。	情报机构在敌后建立了#秘密#联络站，为前线提供了大量有价值的军事情报。	他们的恋情一直处于#秘密#状态，直到婚礼当天才正式向亲友公开这段感情。	这家地下赌场的入口十分#秘密#，需要通过特定的暗号才能进入那扇隐蔽的铁门。	革命党人在租界内设立了#秘密#印刷所，专门印制宣传革命思想的传单和报刊。			
秘密	mi4 mi4	秘密事项或隐私	她终于鼓起勇气向闺蜜倾诉了埋藏多年的#秘密#，那是关于她亲生父母的真实身份。	这本日记里记载着奶奶年轻时的#秘密#，包括她与爷爷相识相恋的浪漫故事。	孩子们发现了一个树洞，决定把它当作存放彼此#秘密#的地方，谁也不许告诉大人。	他临终前把儿子叫到床边，颤抖着说出了一个守护了五十年的家族#秘密#。	闺蜜之间无话不谈，彼此分享着各自的小#秘密#，这种信任让她们的友谊更加牢固。	侦探通过层层抽丝剥茧，终于揭开了这座古宅隐藏百年的#秘密#，真相令所有人震惊。	每个人心里都有不愿示人的#秘密#，那些深埋的往事构成了我们复杂的内心世界。	小说的结尾处，主人公终于说出了那个改变所有人命运的#秘密#，读者这才恍然大悟。			
避免	bi4 mian3	防止不良后果发生	医生建议患者戒烟限酒，以#避免#心血管疾病进一步恶化，危及生命安全。	政府及时出台了一系列经济刺激政策，成功#避免#了大规模失业潮的出现。	工程师在设计桥梁时采用了多重安全系数，以#避免#结构在极端天气下发生坍塌事故。	银行加强了风险管控措施，#避免#了因不良贷款激增而导致的资金链断裂危机。	消防部门在森林火险期加大巡查力度，#避免#了多起可能造成重大损失的山火灾害。	疫苗接种计划的推广有效#避免#了传染病在社区内大规模爆发的风险。	外交官们通过艰难的谈判，最终#避免#了两国之间一触即发的军事冲突。	及时的预警系统让沿海居民提前撤离，#避免#了台风登陆时可能造成的人员伤亡。			
避免	bi4 mian3	采取措施阻止发生	学校安装了监控摄像头并增派保安，以#避免#校园欺凌事件的发生。	为了#避免#食品安全问题，超市建立了严格的供应商审核制度和产品溯源系统。	航空公司对飞机进行定期维护检查，#避免#任何可能影响飞行安全的机械故障。	城市规划部门在低洼地区修建了排水系统，#避免#暴雨季节出现严重内涝。	公司制定了详细的数据备份方案，#避免#因服务器故障导致重要信息丢失。	交警在事故多发路段增设了警示标志和减速带，#避免#类似的交通事故再次发生。	环保部门要求工厂安装废气处理设备，#避免#有害物质直接排放到大气中。	银行采用了多重身份验证机制，#避免#客户账户被不法分子盗用。			
避免	bi4 mian3	避开或不让遭遇不利情况	他特意选择了一条偏僻的小路回家，以#避免#在街上遇到那个纠缠不休的前女友。	为了#避免#高峰期的交通拥堵，她每天提前一个小时出门上班。	旅行社建议游客#避免#在雨季前往东南亚，那时候洪水和泥石流频发，十分危险。	投资者应该分散投资组合，#避免#把所有资金都押在单一股票上承担过大风险。	登山队决定绕道而行，#避免#穿越那片据说有雪崩危险的陡峭山坡。	她故意#避免#与前夫出现在同一场合，以免引起不必要的尴尬和猜测。	医生建议过敏体质的患者#避免#接触花粉、尘螨等常见过敏原。	为了#避免#与邻居发生冲突，他总是尽量压低音乐的音量，保持安静。			
避免	bi4 mian3	克制自己不去做某事	减肥期间她努力#避免#吃甜食和油炸食品，尽管每次路过蛋糕店都要经受巨大的诱惑。	医生叮嘱术后患者要#避免#剧烈运动，至少休养三个月才能恢复正常活动。	在正式场合发言时，他刻意#避免#使用粗俗的语言，以维护自己的专业形象。	为了保持客观公正，记者在报道中#避免#加入个人情感和主观评价。	她在社交媒体上#避免#发表任何政治观点，以免卷入无谓的网络争论。	谈判专家建议双方#避免#使用激烈的措辞，以免破坏来之不易的对话氛围。	老师要求学生在写论文时#避免#抄袭他人观点，必须用自己的话进行论述。	他努力#避免#回忆那段痛苦的往事，每当相关的画面浮现脑海，他就强迫自己想别的事情。			
扩大	kuo4 da4	增大范围或提升规模	这家连锁餐厅计划在未来三年内#扩大#经营规模，在全国各大城市新开五十家分店。	政府决定#扩大#医疗保险的覆盖范围，让更多低收入家庭能够享受基本医疗保障。	公司董事会批准了#扩大#生产线的投资计划，预计产能将在明年翻一番。	随着业务的快速发展，人力资源部门正在#扩大#招聘规模，急需各类专业人才。	为了满足日益增长的市场需求，工厂决定#扩大#仓储面积，新建两座大型物流中心。	学校计划#扩大#招生规模，明年将增设三个新专业，预计多招收五百名学生。	这次促销活动的成功促使商家决定#扩大#优惠力度，将折扣范围延伸到全部商品。	慈善基金会宣布将#扩大#资助范围，从原来的十个省份增加到覆盖全国所有贫困地区。			
