sentence	spans	defs
上半年，外商直接投资协议额２４２亿美元，同比增长５．５％；实际到位资金２０５亿美元，下降１．３％。	0:上半/上半年 1:半年 4:外商/外商直接投资 6:直接 8:投资 10:协议 17:美元 20:同比 22:增长 29:实际 31:到位 33:资金 39:美元 42:下降	上半 [shang4 ban4] first half; 上半年 [shang4 ban4 nian2] first half (of a year); 半年 [ban4 nian2] half a year; 外商 [wai4 shang1] foreign businessman or enterprise; 外商直接投资 [wai4 shang1 zhi2 jie1 tou2 zi1] overseas foreign direct investment (OFDI); 投资 [tou2 zi1] investment; to invest; 直接 [zhi2 jie1] direct; immediate; straightforward
１９年来的实践证明，发展乡镇企业是一项富民强国的重大战略，是实现农业现代化、农民奔小康的必由之路。	2:年来 5:实践 7:证明 10:发展 12:乡镇 14:企业 19:富民 21:强国 24:重大 25:大战 26:战略 30:实现 32:农业/农业现代化 34:现代/现代化 38:农民 41:小康 44:必由之路	农业 [nong2 ye4] agriculture; farming; 农业现代化 [nong2 ye4 xian4 dai4 hua4] modernization of agriculture, one of Deng Xiaoping's Four...; 大战 [da4 zhan4] war; to wage war; 战略 [zhan4 lu:e4] strategy; 现代 [Xian4 dai4] Hyundai, South Korean company | [xian4 dai4] modern times; modern era; 现代化 [xian4 dai4 hua4] modernization / CL:個|个[ge4]; 重大 [zhong4 da4] great; important; major; significant
５月２１日，队伍于世界各队中最先出发，１２００人到机场欢送，各大电视台中断正常节目，进行现场直播。	6:队伍 9:世界 14:最先 16:出发 25:机场 27:欢送 32:电视/电视台 34:台中 35:中断 37:正常 39:节目 42:进行 44:现场/现场直播 46:直播	中断 [zhong1 duan4] to interrupt; to discontinue; 台中 [Tai2 zhong1] Taichung, city in central Taiwan / variant of 臺中|台中[Tai2 zhong1]; 现场 [xian4 chang3] the scene; on the spot; at the site; 现场直播 [xian4 chang3 zhi2 bo1] on-the-spot live broadcast; 电视 [dian4 shi4] television; TV / CL:臺|台[tai2],部[bu4]; 电视台 [dian4 shi4 tai2] television station / variant of 電視台|电视台[dian4 shi4 tai2]; 直播 [zhi2 bo1] to broadcast live; livestream / (agriculture) direct seeding
与会代表一致认为，全球化作为客观存在是不争的事实，不可逆的趋势，同时也是一个不断变化、深化的过程。	0:与会 2:代表 4:一致 6:认为 9:全球/全球化 11:化作 12:作为 14:客观 16:存在 19:不争 22:事实 25:不可/不可逆 26:可逆 29:趋势 32:同时 36:一个 38:不断 40:变化 43:深化 46:过程	不可 [bu4 ke3] cannot; should not; must not; 不可逆 [bu4 ke3 ni4] irreversible; 作为 [zuo4 wei2] conduct; deed; accomplishment / as; in the capacity of / to regard as; to view as; 全球 [quan2 qiu2] the whole world; global; 全球化 [quan2 qiu2 hua4] globalization; 化作 [hua4 zuo4] to change into; to turn into; to become; 可逆 [ke3 ni4] reversible / (math.) invertible
对森林资源的破坏和侵犯引来了大火，大火将大量二氧化碳送入天空，不断变暖的全球气候转过来使森林变得更不滋润，火灾变得更为频繁，进而对整个世界生存环境产生恶劣影响。	1:森林 3:资源 6:破坏 9:侵犯 14:大火 17:大火 20:大量 22:二氧化碳 23:氧化 28:天空 31:不断 33:变暖 36:全球/全球气候 38:气候 41:过来 44:森林 46:变得 50:滋润 53:火灾 54:灾变 55:变得 57:更为 59:频繁 62:进而 65:整个 67:世界 69:生存/生存环境 71:环境 73:产生 75:恶劣 77:影响	二氧化碳 [er4 yang3 hua4 tan4] carbon dioxide CO2; 全球 [quan2 qiu2] the whole world; global; 全球气候 [quan2 qiu2 qi4 hou4] global climate; 变得 [bian4 de5] to become; 气候 [qi4 hou4] (meteorology) climate / (fig.) climate; prevailing conditions (in human affairs) / CL:種|种[zhong3]; 氧化 [yang3 hua4] to oxidize; 火灾 [huo3 zai1] serious fire (in a city or a forest etc); 灾变 [zai1 bian4] catastrophe; cataclysmic change; 环境 [huan2 jing4] environment; surroundings; circumstances / CL:個|个[ge4]; 生存 [sheng1 cun2] to exist; to survive; 生存环境 [sheng1 cun2 huan2 jing4] habitat; living environment
百余年来，在我国福建一带及东南亚地区，人们一直延用福州卢氏中医世家组方的系列外用中药治疗各种眼疾。	0:百余 1:余年 2:年来 6:我国 8:福建 10:一带 13:东南/东南亚 14:南亚 16:地区 19:人们 21:一直 25:福州 27:卢氏 29:中医 31:世家 36:系列 38:外用 40:中药 42:治疗 44:各种 46:眼疾	东南 [dong1 nan2] southeast; 东南亚 [Dong1 nan2 ya4] Southeast Asia; 余年 [yu2 nian2] one's remaining years; 南亚 [nan2 Ya4] southern Asia; 年来 [nian2 lai2] in recent years; 百余 [bai3 yu2] a hundred or more
据中央气象台提供的信息：受强劲的暖湿气流和弱冷空气的共同影响，８日—１１日，西北地区东部、华北中南部、黄淮、汉水流域、江淮、江南北部以及四川和贵州等地普遍出现中到大雨，部分地区还下了暴雨。	1:中央 3:气象/气象台 6:提供 9:信息 13:强劲 17:湿气 18:气流 23:空气 26:共同 28:影响 38:西北 40:地区 42:东部 45:华北 47:中南/中南部 48:南部 54:汉水 55:水流 56:流域 62:江南 63:南北 64:北部 66:以及 68:四川 71:贵州 75:普遍 77:出现 81:大雨 84:部分 85:分地 86:地区 91:暴雨	中南 [Zhong1 Nan2] South Central China (Henan, Hubei, Hunan, Guangdong, Guan... / abbr. for China-South Africa; 中南部 [zhong1 nan2 bu4] south central region; 分地 [fen1 di4] to distribute land; 北部 [bei3 bu4] northern part; 南北 [nan2 bei3] north and south; north to south; 南部 [nan2 bu4] southern part; 地区 [di4 qu1] region; area (informal or geographical term) / prefecture (in China's administrative system); 气流 [qi4 liu2] airflow; stream of air / breath; 气象 [qi4 xiang4] weather; meteorology / atmosphere; ambience; scene; 气象台 [qi4 xiang4 tai2] meteorological office; 水流 [shui3 liu2] river; stream; water current; 汉水 [Han4 shui3] Han River (Hanshui); 江南 [Jiang1 nan2] region of China immediately south of the lower Yangtze Ri... / see 江南省[Jiang1 nan2 Sheng3] / see 江南區|江南区[Jiang1 nan2 Qu1]; 流域 [liu2 yu4] river basin; drainage area / valley; 湿气 [shi1 qi4] moisture; humidity / athlete's foot; tinea / eczema; 部分 [bu4 fen5] part; portion; piece / Taiwan pr. [bu4fen4]
内地的国企改革、中西部发展战略、鼓励高新技术及第三产业发展的政策，为港商提供了广阔的发展空间。	0:内地 3:国企 5:改革 8:中西/中西部 9:西部 11:发展 13:战略 16:鼓励 18:高新技术 20:技术 22:及第 23:第三产业 25:产业 27:发展 30:政策 36:提供 39:广阔 42:发展 44:空间	中西 [Zhong1 Xi1] China and the West; Chinese-Western; 中西部 [zhong1 xi1 bu4] midwest; 产业 [chan3 ye4] industry; industrial / estate; property; 及第 [ji2 di4] to pass an imperial examination; 技术 [ji4 shu4] technology; technique; skill / CL:門|门[men2],種|种[zhong3],項|项[xiang4]; 第三产业 [di4 san1 chan3 ye4] tertiary sector of industry; 西部 [xi1 bu4] western part; 高新技术 [gao1 xin1 ji4 shu4] high technology
下降的主要原因是国家利用外资进行了结构性调整，进一步加强了外资产业的导向，而澳门经济转型，大部分劳动密集型产业已转移到内地，新产业因资金、技术、人才的缺乏而进展缓慢直接影响其对内地的投资。	0:下降 3:主要 5:原因 8:国家 10:利用 12:外资 14:进行 16:了结 17:结构/结构性 20:调整 23:进一步 26:加强 29:外资 30:资产 31:产业 34:导向 38:澳门 40:经济 42:转型 45:大部/大部分 46:部分 48:劳动 50:密集 53:产业 54:业已 56:转移 59:内地 63:产业 66:资金 69:技术 72:人才 75:缺乏 78:进展 79:展缓 80:缓慢 82:直接 84:影响 87:对内 88:内地 91:投资	业已 [ye4 yi3] already; 了结 [liao3 jie2] to settle; to conclude; to wind up; 产业 [chan3 ye4] industry; industrial / estate; property; 内地 [Nei4 di4] mainland China (PRC excluding Hong Kong and Macau, but in... / Japan (used in Taiwan during Japanese colonization) | [nei4 di4] inland; interior; hinterland; 外资 [wai4 zi1] foreign investment; 大部 [da4 bu4] the greater part; the majority; most; 大部分 [da4 bu4 fen5] the greater part; the majority; most / Taiwan pr. [da4bu4fen4]; 对内 [dui4 nei4] internal; domestic; 展缓 [zhan3 huan3] to postpone; to extend; 结构 [jie2 gou4] structure; composition; architecture / CL:座[zuo4],個|个[ge4]; 结构性 [jie2 gou4 xing4] structural; structured; 缓慢 [huan3 man4] slow; 资产 [zi1 chan3] property; assets; 进展 [jin4 zhan3] to make headway; to make progress; 部分 [bu4 fen5] part; portion; piece / Taiwan pr. [bu4fen4]
安理会要求所有出口到塞拉利昂的武器必须通过塞政府控制的边境口岸进入该国，同时要求塞政府对进口的武器进行严格登记，并定期向安理会汇报，以防进口的武器落入前军政府武装人员及其他反政府武装手中。	0:安理会 1:理会 2:会要 3:要求 5:所有 7:出口 10:塞拉利昂 15:武器 17:必须 19:通过 22:政府 24:控制 27:边境 29:口岸 31:进入 36:同时 38:要求 41:政府 44:进口 47:武器 49:进行 51:严格 52:格登 53:登记 57:定期 60:安理会 61:理会 63:汇报 66:以防 68:进口 71:武器 73:落入 76:军政/军政府 77:政府 79:武装 81:人员 83:及其 84:其他 86:反政府 87:政府 89:武装	严格 [yan2 ge2] strict; stringent; rigorous; 会要 [hui4 yao4] dynastic records of imperial China; 其他 [qi2 ta1] other; else; the rest; 军政 [jun1 zheng4] army and government; 军政府 [jun1 zheng4 fu3] military government; 及其 [ji2 qi2] (conjunction linking two nouns) and its ...; and their .....; 反政府 [fan3 zheng4 fu3] anti-government (protest); 安理会 [An1 Li3 hui4] (United Nations) Security Council; 政府 [zheng4 fu3] government / CL:個|个[ge4]; 格登 [ge1 deng1] variant of 咯噔[ge1 deng1]; 理会 [li3 hui4] to understand / to pay attention to; to take notice of; 登记 [deng1 ji4] to register (one's name); 要求 [yao1 qiu2] to request; to require; to demand; requirement / CL:點|点[dian3]
