word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
女	nu:3	子女中为女性的孩子	老王家有三个孩子，两个儿子一个#女#，最小的女儿今年刚考上北京大学，全家人都为她感到骄傲。	张大爷年过七旬，膝下一儿一#女#都已成家立业，每逢节假日儿女们都会带着孙辈回来团聚。	在传统观念中，很多家庭重男轻女，但李家却把唯一的#女#当作掌上明珠，供她读书深造。	村里的老人常说，养儿防老不如养#女#贴心，女儿虽然嫁出去了，但对父母的关心从未减少。	他们夫妻俩生了三个#女#，虽然没有儿子，但三个女儿都很孝顺，晚年生活过得十分幸福。	邻居家的独生#女#从小就聪明伶俐，长大后成了一名出色的外科医生，经常回来看望父母。	按照当地的风俗，嫁#女#的时候要准备丰厚的嫁妆，这让经济条件一般的家庭感到压力很大。	这对老夫妻一生养育了四个#女#，虽然都是女儿，但她们比很多儿子都要孝顺和体贴。	族谱上记载，曾祖父共有二子三#女#，其中最小的女儿后来成为了当地有名的女教育家。			
存在	cun2 zai4	存在	这种珍稀植物只#存在#于海拔三千米以上的高山地区，科学家们正在努力研究其生存环境。	经过多年的考古发掘，终于证实了这个古老文明确实#存在#过，而非仅仅是传说中的故事。	虽然我们无法用肉眼看到暗物质，但大量的天文观测数据表明它确实#存在#于宇宙之中。	这家百年老店之所以能够#存在#至今，靠的是几代人对传统工艺的坚守和对品质的执着追求。	专家指出，这种安全隐患长期#存在#于老旧小区中，必须尽快采取措施加以整改。	调查报告显示，城乡教育资源分配不均的问题依然#存在#，需要政府加大投入力度来解决。	这种古老的民间艺术形式至今仍然#存在#于偏远山区，当地政府正在积极申报非物质文化遗产。	科学家们一直在探索外星生命是否#存在#，这个问题至今仍是天文学研究的重要课题之一。	这份合同中#存在#多处法律漏洞，律师建议双方重新协商条款后再签署正式文件。			
存在	cun2 zai4	存在的事实或实体	哲学家们千百年来一直在思考#存在#的本质，试图回答"我是谁"这个根本性的问题。									
学习	xue2 xi2	有目的地研读或练习	为了提升自己的专业技能，她每天下班后都会花两个小时#学习#编程和数据分析课程。	这位七十岁的老人坚持#学习#英语已经五年了，现在已经能够流利地与外国游客交流。	孩子们在图书馆里安静地#学习#，为即将到来的期末考试做最后的冲刺准备。								
之间	zhi1 jian1	位于两者或多者之间	北京和上海#之间#的高铁只需要四个半小时，极大地方便了两地商务人士的往来。	这两个部门#之间#的沟通一直不太顺畅，导致很多项目的推进效率受到了严重影响。	朋友#之间#应该坦诚相待，有什么误会要及时说开，不要让小矛盾演变成大隔阂。	这座古桥横跨在两座山峰#之间#，已经有五百多年的历史，至今仍是当地重要的交通要道。	夫妻#之间#最重要的是相互理解和包容，遇到问题要心平气和地沟通，而不是互相指责。	理论与实践#之间#往往存在差距，只有在实际工作中不断摸索，才能真正掌握一门技术。	这份协议明确规定了甲乙双方#之间#的权利和义务，任何一方违约都要承担相应的法律责任。	国与国#之间#的关系应该建立在相互尊重、平等互利的基础上，这是国际交往的基本准则。	在传统与现代#之间#寻找平衡，是当代建筑设计师面临的一个重要课题。			
之间	zhi1 jian1	表示极短时间的间隔	转眼#之间#，三十年过去了，当年的青涩少年如今已是两鬓斑白的中年人。	弹指#之间#，这座小渔村就变成了高楼林立的现代化都市，变化之大令人难以置信。	须臾#之间#，天空乌云密布，紧接着就下起了倾盆大雨，行人纷纷跑进路边的商店躲避。	刹那#之间#，他做出了一个改变自己一生的决定，毅然辞去了稳定的工作去创业。	倏忽#之间#，春天就过去了，窗外的樱花已经落尽，取而代之的是满眼的新绿。	霎时#之间#，整个会场安静下来，所有人都屏住呼吸等待着最终结果的公布。	瞬息#之间#，股市就发生了剧烈波动，很多投资者还没来得及反应就已经损失惨重。	顷刻#之间#，大火就吞噬了整栋建筑，幸好消防队员及时赶到，没有造成人员伤亡。	一念#之间#，他放弃了报复的想法，选择了宽恕那个曾经深深伤害过他的人。			
人员	ren2 yuan2	组织或机构的工作人员	公司决定在年底前完成#人员#调整，优化各部门的岗位配置以提高整体运营效率。	这家医院的医护#人员#工作非常敬业，即使在节假日也坚守岗位为患者提供优质服务。	根据新的管理规定，所有#人员#进入实验室前必须经过严格的安全培训并通过考核。	学校行政#人员#的服务态度直接影响着师生的满意度，因此学校特别重视这方面的培训。						
人员	ren2 yuan2	承担具体任务的工作队伍	救援#人员#在废墟中连续奋战了七十二小时，终于成功救出了被困的幸存者。	施工#人员#正在加班加点地工作，确保这条高速公路能够在国庆节前顺利通车。	安保#人员#在活动现场进行了严密的巡逻，确保数万名观众的人身安全。	医疗#人员#组成的志愿者队伍深入偏远山区，为当地村民提供免费的健康检查服务。	技术#人员#经过反复调试，终于解决了困扰生产线多日的设备故障问题。	消防#人员#冒着生命危险冲进火场，成功将被困在楼内的老人和儿童全部救出。	勘探#人员#在这片荒漠中工作了整整三年，终于发现了一个储量可观的油气田。	维修#人员#顶着烈日在户外作业，争取在最短时间内恢复小区的供电。	调查#人员#走访了数百名证人，收集了大量证据，案件终于有了重大突破。			
人员	ren2 yuan2	机构内的人员配置与编制	这次机构改革的重点是精简#人员#编制，提高政府部门的行政效率和服务水平。	由于预算有限，研究所不得不压缩#人员#规模，一些非核心岗位被合并或撤销。	新成立的部门正在进行#人员#招聘，计划在三个月内完成团队的组建工作。	公司的#人员#结构存在明显的老龄化问题，急需引进一批年轻的专业技术人才。	这份报告详细分析了各分支机构的#人员#配置情况，为下一步的优化调整提供了依据。	医院的#人员#编制已经多年没有增加，但门诊量却翻了一番，医护人员压力很大。	按照上级的要求，各单位必须在年底前完成#人员#清查工作，核实在编人员的实际情况。	企业在扩张过程中要注意#人员#储备，避免因人才短缺而影响新项目的顺利推进。	这个项目的#人员#配置非常合理，既有经验丰富的老专家，也有充满活力的年轻骨干。			
照片	zhao4 pian4	用相机拍摄的静止影像	这张泛黄的老#照片#记录了爷爷奶奶年轻时的模样，是我们家最珍贵的纪念品之一。	她翻看着手机里的#照片#，回忆起去年夏天和朋友们一起去海边度假的美好时光。	摄影师为新人拍摄了一组唯美的婚纱#照片#，每一张都像是从电影里截取的画面。	警方通过监控#照片#锁定了嫌疑人的身份，案件的侦破工作取得了重大进展。	这位战地记者冒着生命危险拍摄的#照片#震惊了全世界，让人们看到了战争的残酷。	博物馆里陈列着许多珍贵的历史#照片#，真实地记录了这座城市百年来的沧桑变迁。	她把孩子成长过程中的每一张#照片#都精心整理成册，作为送给孩子十八岁的生日礼物。	这张#照片#拍摄于一九四九年，画面中的人们正在天安门广场庆祝新中国的成立。	社交媒体上的#照片#往往经过精心修饰，与真实的生活场景存在很大的差距。			
