id	segmented_sentence	merged_word
1	现代  科技  的  发展  ，  许多  重大  课题  的  突破  ，  需要  #多 学科#  的  合作  来  共同  完成  。	多学科
2	今后  ，  我们  应  在  科技  成果  的  转化  上  多  #下 功夫#  。	下功夫
3	据悉  ，  造价  两亿多元（澳门币）  的  澳珠大桥  全长  约  １·４公里  ，  离  水面  #净 高#  ２２米  ；  设计  双向  行驶  共  ６条  行车  道  ，  年  交通  流量  １０００万辆架次  。	净高
4	我  悟出  一些  为人  为  文  之  道  ：  人民日报  与  时代  的  脉搏  一起  跃动  ，  它  关注  天下  苍生  ，  既有  为  艺术  的  敏感  ，  更  #有 为#  人生  的  执著  。	有为
5	十多年  来  ，  我  在  文学  拥挤  的  道  #途 中#  ，  有  过  迷惘  ，  有  过  困顿  ，  但  更  多  的  则  是  不敢  稍加  懈怠  ，  因为  我  一直  心存  感恩  的  “  大地  ”  副刊  在  身后  催促  我  、  鼓励  我  。	途中
6	#说 到#  凭  质量  取胜  ，  在  “  绿地  ”  所  发  的  稿件  ，  固然  与  作者  选题  准确  ，  议论  精辟  有关  ，  但  更  与  报社  编辑  的  精心  指导  、  认真  修改  润色  分  不  开  。	说到
7	由于  #其 所#  谈  的  内容  广泛  ，  为  广大群众  普遍  关心  ，  又  由于  其  惜墨如金  ，  篇幅  短小精悍  ，  “  立  片言  以  居  要  ，  收  千里  于  方寸  ，  读  来  如  啖  橄榄  ，  回味无穷  ”  ，  因此  不少  读者  对  这个  专栏  都  非常  喜爱  。	其所
8	在  世界  多极化  趋势  加速  发展  的  今天  ，  #中 欧#  在  双边  和  多边  领域  的  共同点  不是  减少  了  ，  而是  更  多  了  。	中欧
9	会见  中  ，  两位  老朋友  互  致  问候  ，  亲切  交谈  ，  对  #时 隔#  三个月  再次  见面  感到  十分  高兴  。	时隔
10	目前  ，  我国  蔬菜  #业 已#  基本  进入  买方  市场  ，  全年  大宗  超  时令  、  反  季节  蔬菜  价格  可能  继续  回落  。	业已
11	目前  ，  我国  蔬菜  业  已  基本  进入  买方  市场  ，  全年  大宗  超  时令  、  #反 季节#  蔬菜  价格  可能  继续  回落  。	反季节
12	近几年  ，  应时  蔬菜  价格  下降  幅度  多  在  ２０％  以上  ，  部分  地区  的  某些  品种  ，  甚至  出现  产地  价  低于  采收  工本  ；  大宗  超  时令  、  #反 季节#  蔬菜  价格  下降  幅度  在  ５０％  以上  。	反季节
13	在  北方  菜区  ，  节能  型  日光  温室  工程  在  #大 范围#  内  推广  ，  面积  已  达  ２１０万亩  ，  相  近似  的  设施  化  保护  菜地  面积  达  １３００万亩  ；  在  南方  菜区  ，  每年  遮阳  网  设备  的  应用  量  超过  ４１万亩次  ；  在  城市  郊区  ，  标准化  菜  田  面积  占  到  总量  的  ３５％  以上  。	大范围
14	新华社  北京  ６月４日  电  记者  从  有关  部门  获悉  ，  中共中央  总书记  、  国家主席  、  中央军委  主席  江泽民  将  赴  港  出席  #定 于#  今年７月１日  举行  的  香港  回归  一周年  庆祝  活动  。	定于
15	５月１８日  ，  省政府  再次  发出  关于  顺  价  销  粮  的  紧急  通知  ，  并  在  全省  实行  统一  行动  ，  按  省政府  规定  的  零售价  挂牌  销  粮  ，  标  #一 早#  籼米  按  订购  价  收购  的  每  市斤  不  低于  １．２元  ，  按  保护价  收购  的  不  低于  １．０５元  ，  中  晚  籼米  分别  不  低于  １．３元  和  １．１５元  。	一早
16	河南省委  、  省政府  强调  在  教育  农民  留足  口粮  、  种子  粮  、  饲料粮  及  储备粮  ，  鼓励  农民  多  储  粮  ，  防止  卖  “  过头  粮  ”  的  同时  ，  继续  实行  按  保护价  敞开  收购  农民  手中  余粮  的  政策  ，  要求  粮食  部门  做到  不  限  收  、  不  拒收  、  不  压  级  压价  、  不  给  农民  “  打白条  ”  ，  除  农业税  外  ，  粮食  部门  不准  代替  任何  单位  #代 扣#  代  缴  各种  款项  。	代扣
17	他  说  ，  通过  举办  这样  的  展览  ，  让  人们  认识  毒品  的  危害  ，  远离  毒品  ，  这是  一件  很  #有 意义#  的  事情  。	有意义
18	为  不  辜负  人民日报社  对  我  的  信任  和  期望  ，  现在  我  每天  都  认真  阅读  人民日报  ，  并  把  发现  #错 用#  的  字  和  词  等  及时  反馈  给  他们  。	错用
19	去年１２月１２日  ，  我  选出  近  ２００条  人民日报  #错 用#  的  字  、  词  、  成语  及  病句  ，  送  到  人民日报社  ，  受到  了  总编室  领导  和  有关  编辑  的  热诚  欢迎  。	错用
20	我  是  人民日报  的  老  读者  ，  出于  对  党报  的  关心  ，  多年来  ，  每当  我  发现  人民日报  出现  #错 用#  的  字  、  词  时  ，  我  都  认真  做  了  记录  和  整理  。	错用
21	诸如  许多  家庭  需要  家庭  教师  、  看护  病人  、  陪伴  老人  、  #送 餐#  上门  、  洗衣  上门  、  接送  孩子  等  项  服务  。	送餐
22	观念  转变  ，  处处  是  机会  ，  没有  机会  也  能  创造  机会  ；  因循守旧  ，  不  思  转变  ，  死守  旧  的  岗位  ，  迎面  而  来  的  机会  也  会  错过  ，  也  会  被  人  #夺 走#  。	夺走
