word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
形象	xing2 xiang4	生动鲜明容易想象的印象	他讲故事特别#形象#，手舞足蹈地模仿各种人物的表情和动作，把大家逗得前仰后合。	这篇散文的描写非常#形象#，读者仿佛能亲眼看到那片金黄色的麦田在风中起伏。	导游的讲解生动#形象#，把这座古城几百年的历史娓娓道来，游客们听得津津有味。	她用"铁公鸡"来#形象#地形容那个从不请客的同事，大家都觉得再贴切不过了。	作家用细腻的笔触#形象#地描绘了江南水乡的风土人情，让人读后心生向往。	物理老师把电流比作水流，这个#形象#的类比让同学们一下子理解了欧姆定律。	相声演员用夸张的肢体语言#形象#地模仿了各种动物的姿态，台下笑声不断。	这幅漫画#形象#地讽刺了某些人表面热心实则冷漠的虚伪态度，引发了网友热议。
斗争	dou4 zheng1	人与人之间的肢体或言语冲突	两个邻居因为停车位的问题发生了激烈的#斗争#，互不相让，最后惊动了物业来调解。	职场中的权力#斗争#往往暗流涌动，表面上和和气气，背地里却勾心斗角。	兄弟二人为了争夺家产展开了一场旷日持久的#斗争#，最终对簿公堂不欢而散。	她在回忆录中详细描述了自己与疾病#斗争#的艰辛历程，感动了无数读者。	工人们为了争取合理的薪酬待遇，与资方进行了长达数月的#斗争#和谈判。	村民们团结一心与非法占地的开发商展开#斗争#，最终成功保住了祖辈留下的农田。	他在单位里与不正之风进行坚决#斗争#，虽然得罪了不少人，但赢得了群众的尊敬。	这部小说讲述了一个普通家庭在动荡年代中与命运#斗争#的感人故事。

斗争	dou4 zheng1	组织化或武装的较大规模战斗	抗日战争期间，游击队在敌后开展了艰苦卓绝的武装#斗争#，有力地牵制了日军兵力。	革命先烈们为了民族解放事业进行了长期的武装#斗争#，付出了巨大的牺牲。	这场反殖民#斗争#持续了十多年，最终以殖民者撤退、国家独立而告终。	历史教科书详细记载了工农红军在井冈山开展武装#斗争#的光辉历程。	非洲多个国家在二十世纪中叶掀起了民族解放#斗争#的浪潮，纷纷摆脱了殖民统治。	地下党组织在白色恐怖中坚持#斗争#，秘密发展力量，为最终的胜利奠定了基础。	这部纪录片真实再现了当年游击队员在丛林中开展武装#斗争#的艰难岁月。	南美洲的独立#斗争#涌现出了玻利瓦尔等一批杰出的革命领袖和民族英雄。
战	zhan4	进行战斗	将军身先士卒，率领部队与敌军浴血奋#战#，最终成功守住了阵地。	消防员们不畏艰险，连续奋#战#了三天三夜，终于将山火彻底扑灭。	两支球队在决赛中激烈鏖#战#了一百二十分钟，最后通过点球大战分出胜负。	抗洪前线的官兵们日夜奋#战#在堤坝上，用沙袋筑起了一道坚固的防线。	棋手在比赛中沉着应#战#，面对对手的凌厉攻势毫不慌乱，最终反败为胜。	医护人员在抗疫一线连续奋#战#数月，用生命守护着人民群众的健康安全。	特种部队在夜色掩护下悄悄接近敌营，一声令下便发起了猛烈的突击#战#斗。	运动员在赛场上顽强拼#战#，即使身体已经疲惫不堪也绝不轻言放弃。

战	zhan4	争斗或冲突	商场如#战#场，企业之间的竞争就像一场没有硝烟的战斗，稍有不慎就会被淘汰。	两家科技巨头围绕专利权展开了一场旷日持久的法律#战#，双方都投入了大量资源。	这场价格#战#让整个行业的利润率大幅下降，许多中小企业因此陷入经营困境。	舆论#战#中双方各执一词，在社交媒体上你来我往，争论得不可开交。	选举期间候选人之间的口水#战#愈演愈烈，各种攻击性言论充斥着新闻版面。	两大电商平台的促销#战#从双十一一直打到年底，消费者从中获得了不少实惠。	这场围绕市场份额的争夺#战#已经持续了好几年，至今仍未分出胜负。	外交谈判桌上的博弈就像一场无声的心理#战#，每一句话都经过深思熟虑。
战	zhan4	战争	第二次世界大#战#是人类历史上规模最大、伤亡最惨重的一场全球性军事冲突。	这个国家在经历了多年内#战#之后，百废待兴，人民渴望和平与重建。	冷#战#时期美苏两个超级大国之间的军备竞赛给全世界带来了核威胁的阴影。	博物馆里陈列着许多一#战#时期的武器装备和士兵遗物，提醒人们铭记历史。	这部反#战#电影深刻揭示了战争给普通家庭带来的巨大创伤和无尽苦难。	停#战#协议签署后，交战双方开始撤军，饱受战火摧残的城市终于迎来了久违的宁静。	历史学家认为这场#战#争的爆发有着深刻的经济和政治根源，并非偶然事件。	#战#后重建工作耗费了巨大的人力物力，整个国家花了几十年才恢复元气。

战	zhan4	战役或交战	赤壁之#战#是三国时期最著名的一场以少胜多的经典战役，奠定了三分天下的格局。	淮海#战#役是解放战争中规模最大的一次战略决战，彻底改变了国共双方的力量对比。	诺曼底登陆#战#是二战中盟军反攻欧洲大陆的关键一役，数十万士兵参与了这次行动。	长平之#战#中秦国大败赵国，坑杀降卒四十万，成为战国时期最惨烈的一场战役。	斯大林格勒保卫#战#持续了近半年，苏联红军最终取得胜利，成为二战的重要转折点。	这场遭遇#战#来得十分突然，双方都没有充分准备，在山谷中展开了激烈的交火。	牧野之#战#是商周之际的决定性战役，周武王率联军击败商纣王，建立了西周王朝。	滑铁卢之#战#标志着拿破仑军事生涯的终结，他在这场战役后被流放到圣赫勒拿岛。
画	hua4	绘画或描绘图像	她从小就喜欢#画#画，五岁时画的一幅水彩作品还在市里的儿童美术展上获了奖。	美术老师让同学们用铅笔#画#一幅校园风景素描，要求注意光影和透视关系。	退休后他迷上了国#画#创作，每天在书房里挥毫泼墨，乐此不疲。	这位街头艺术家只用粉笔就能在地面上#画#出栩栩如生的三维立体画，令路人惊叹不已。	建筑师在图纸上仔细地#画#出新大楼的设计草图，反复修改每一个细节。	孩子拿起蜡笔在纸上认真地#画#着一家人手牵手的场景，稚嫩的笔触充满了温馨。	他花了整整三个月才#画#完这幅巨型油画，画面描绘的是家乡秋天的丰收景象。	漫画家每天要#画#十几页分镜稿，工作强度非常大，经常熬夜到凌晨。
