word	pinyin	english	chinese	num_sentences_needed
瓦	wa3	roof tile	屋顶覆盖的瓦片	7
行会	Xing2 hui4	ExCo; Executive Council of Hong Kong (abbr. for 行政會議|行政会议[Xing2 zheng4 Hui4 yi4])	香港行政会议	7
行会	hang2 hui4	guild	行业性的互助或公会组织	3
当道	dang1 dao4	in the middle of the road	占据道路中央	7
当道	dang1 dao4	to be in the way	阻挡或妨碍通行	7
当道	dang1 dao4	to hold power	掌握权力或主导地位	1
当道	dang1 dao4	(fig.) to predominate	占据支配或主导地位	7
当道	dang1 dao4	to be in vogue	流行或成为时尚	7
擦	ca1	to rub; to scratch	用摩擦动作使表面留下划痕或擦伤	7
擦	ca1	to wipe; to polish	用布或工具擦净并使表面光亮	7
